Merged dataset build complete
Total classes: 72
Universal split ratio: 0.70/0.15/0.15
Train augmentation target annotations per class: 2426

[train]
sambar: before_images=102, after_images=102, before_annotations=106, after_annotations=106
sambar_satham: before_images=45, after_images=45, before_annotations=45, after_annotations=45
samosa: before_images=77, after_images=77, before_annotations=355, after_annotations=355
shahi_paneer: before_images=188, after_images=188, before_annotations=189, after_annotations=189
thepla: before_images=37, after_images=37, before_annotations=40, after_annotations=40
upma: before_images=31, after_images=31, before_annotations=31, after_annotations=31
veg_briyani: before_images=45, after_images=45, before_annotations=47, after_annotations=47
veg_pulao: before_images=36, after_images=36, before_annotations=37, after_annotations=37
ven_pongal: before_images=45, after_images=45, before_annotations=48, after_annotations=48

[test]
aloo_gobi: before_images=119, after_images=119, before_annotations=120, after_annotations=120
aloo_masala: before_images=112, after_images=112, before_annotations=113, after_annotations=113
appam: before_images=45, after_images=45, before_annotations=47, after_annotations=47
beetroot_poriyal: before_images=45, after_images=45, before_annotations=63, after_annotations=63
besan_cheela: before_images=45, after_images=45, before_annotations=84, after_annotations=84
bhakarwadi: before_images=55, after_images=55, before_annotations=56, after_annotations=56
bhakri: before_images=17, after_images=17, before_annotations=21, after_annotations=21
bhatura: before_images=146, after_images=146, before_annotations=268, after_annotations=268
bhindi_masala: before_images=224, after_images=224, before_annotations=224, after_annotations=224
biryani: before_images=150, after_images=150, before_annotations=159, after_annotations=159
carrot_poriyal: before_images=45, after_images=45, before_annotations=77, after_annotations=77
chai: before_images=73, after_images=73, before_annotations=108, after_annotations=108
chicken: before_images=198, after_images=198, before_annotations=214, after_annotations=214
chicken_65: before_images=45, after_images=45, before_annotations=46, after_annotations=46
chicken_biryani: before_images=45, after_images=45, before_annotations=50, after_annotations=50
chole: before_images=274, after_images=274, before_annotations=289, after_annotations=289
coconut_chutney: before_images=216, after_images=216, before_annotations=218, after_annotations=218
dal: before_images=208, after_images=208, before_annotations=222, after_annotations=222
dhokla: before_images=151, after_images=151, before_annotations=182, after_annotations=182
dosa: before_images=241, after_images=241, before_annotations=285, after_annotations=285
dum_aloo: before_images=77, after_images=77, before_annotations=78, after_annotations=78
eggs: before_images=111, after_images=111, before_annotations=131, after_annotations=131
fish_curry: before_images=78, after_images=78, before_annotations=81, after_annotations=81
ghevar: before_images=51, after_images=51, before_annotations=97, after_annotations=97
green_chutney: before_images=142, after_images=142, before_annotations=151, after_annotations=151
gulab_jamun: before_images=59, after_images=59, before_annotations=415, after_annotations=415
idli: before_images=176, after_images=176, before_annotations=499, after_annotations=499
jalebi: before_images=187, after_images=187, before_annotations=236, after_annotations=236
kaara_chutney: before_images=47, after_images=47, before_annotations=47, after_annotations=47
kali: before_images=45, after_images=45, before_annotations=68, after_annotations=68
kebab: before_images=35, after_images=35, before_annotations=175, after_annotations=175
khandvi: before_images=70, after_images=70, before_annotations=76, after_annotations=76
kheer: before_images=63, after_images=63, before_annotations=93, after_annotations=93
koozh: before_images=45, after_images=45, before_annotations=62, after_annotations=62
kulfi: before_images=71, after_images=71, before_annotations=142, after_annotations=142
